DXCC	Pattern	Name	EntityCode
ST	ST;SS[N-Z];6[T,U]	Sudan	466
SU	SU;SS[A-M];6[A,B]	Egypt	478
SV	S[V-Z]	Greece	236
SV1_A	SV1A	Mount Athos	180
SV5	SV5;J45	Dodecanese	45
SV7	SV7;J49	Crete	40
T2	T2	Tuvalu	282
T30	T30	W. Kiribati (Gilbert Is. )	301
T31	T31	C. Kiribati (British Phoenix Is.)	31
T32	T32	E. Kiribati (Line Is.)	48
T33	T33	Banaba I. (Ocean I.)	490
T5	6O	Somalia	232
T7	T7	San Marino	278
T8	T8	Palau	22
TA	T[A-C]	Turkey	390
TF	TF	Iceland	242
TG	TG;TD	Guatemala	76
TI	TI[1-8]	Costa Rica	308
TI9	TI9	Cocos I.	37
TJ	TJ	Cameroon	406
TK	TK	Corsica	214
TL	TL	Central Africa	408
TN	TN	Republic of the Congo	412
TR	TR	Gabon	420
TT	TT	Chad	410
TU	TU	Cote dÅfIvoire	428
TY	TY	Benin	416
TZ	TZ	Mali	442
UA1	R[1-9];[R,U][A-I][1,3-7]	European Russia	54
UA2	RA2;U[A-I]2[F,K]	Kaliningrad	126
UA9	[R,U][A-I][0,8,9]	Asiatic Russia	15
UK	U[J-M]	Uzbekistan	292
UN	U[N-Q]	Kazakhstan	130
UR	U[R-Z];E[M-O]	Ukraine	288
V2	V2	Antigua & Barbuda	94
V3	V3	Belize	66
V4	V4	St. Kitts & Nevis	249
V5	V5	Namibia	464
V6	V6	Micronesia	173
V7	V7	Marshall Is.	168
V8	V8	Brunei Darussalam	345
VE	V[A-G];VO;VY	Canada	1
VK	V[H-N,Z];AX	Australia	150
VK0_h	VK0	Heard I.	111
VK0_m	VK0	Macquarie I.	153
VK9C	VK9C	Cocos (Keeling) Is.	38
VK9L	VK9L	Lord Howe I.	147
VK9M	VK9M	Mellish Reef	171
VK9N	VK9N	Norfolk I.	189
VK9W	VK9W	Willis I.	303
VK9X	VK9X	Christmas I.	35
VP2E	VP2E	Anguilla	12
VP2M	VP2M	Montserrat	96
VP2V	VP2V	British Virgin Is.	65
VP5	VP5	Turks & Caicos Is.	89
VP6_p	VP6	Pitcairn I.	172
VP6_d	VP6	Ducie I.	513
VP8	VP8	Falkland Is.	141
VP8_g	VP8;LU	South Georgia I.	235
VP8_o	VP8;LU	South Orkney Is.	238
VP8_w	VP8;LU	South Sandwich Is.	240
VP8_l	VP8;LU;CE9;HF0;4K	South Shetland Is.	241
VP9	VP9	Bermuda	64
VQ9	VQ9	Chagos Is.	33
VR2	VR2;VS6	Hong Kong	321
VU	VU	India	324
VU4	VU4	Andaman & Nicobar Is.	11
VU7	VU7	Lakshadweep Is.	142
XE	X[A-I][1-3];4[A-C][1-3];6[D-J][1-3]	Mexico	50
XE4	X[A-I][0,4];4[A-C][0,4];6[D-J][0,4]	Revillagigedo	204
XT	XT	Burkina Faso	480
XU	XU	Cambodia	312
XW	XW	Laos	143
XX9	XX9	Macao	152
XZ	X[Y,Z]	Myanmar	309
YA	YA;T6	Afghanistan	3
YB	Y[B-H]	Indonesia	327
YI	YI	Iraq	333
YJ	YJ	Vanuatu	158
YK	YK	Syria	384
YL	YL	Latvia	145
YN	YN;H[6,7],HT	Nicaragua	86
YP	Y[O-R]	Romania	275
YS	YS;HU	El Salvador	74
YU	Y[T,U]	Serbia	296
YV	Y[V-Y];4M	Venezuela	148
YV0	YV0	Aves I.	17
Z2	Z2	Zimbabwe	452
Z3	Z3	North Macedonia (Republic of)	502
Z6	Z6	Republic of Kosovo	522
Z8	Z8	South Sudan (Republic of)	521
ZA	ZA	Albania	7
ZV2	ZV2	Gibraltar	233
ZC4	ZC4	UK Sovereign Base Areas on Cyprus	283
ZD7	ZD7	St. Helena	250
ZD8	ZD8	Ascension I.	205
ZD9	ZD9	Tristan da Cunha & Gough I.	274
ZF	ZF	Cayman Is.	69
ZK3	ZK3	Tokelau Is.	270
ZL	Z[L,M][1-4,6]	New Zealand	170
ZL7	ZL7	Chatham Is.	34
ZL8	ZL8	Kermadec Is.	133
ZL9	ZL9	New Zealand Subantarctic Islands	16
ZP	ZP	Paraguay	132
ZS	Z[R-U][1-6]	South Africa	462
ZS8	Z[R-U]8	Prince Edward & Marion Is.	201
*1B	1B	Blenheim Reef	23
*1G	1G	Geyser Reef	93
*A15	A15	Abu Ail Is.	2
*1M	1M	Minerva Reef	178
*4W	4W	Yemen Arab Republic	154
*7J1	7J1	Okino Tori-shima	194
*8Z4	8Z4	Saudi Arabia/Iraq Neutral Zone	226
*8Z5	8Z5;9K3	Kuwait/Saudi Arabia Neutral Zone	68
*9S4	9S4	Saar	210
*9U5	9U5	Ruanda-Urundi	208
*AC3	AC3	Sikkim	231
*AC4	AC4	Tibet	268
*C9	C9	Manchuria	164
*CN2	CN2	Tangier	264
*CR8_d	CR8	Damao, Diu	42
*CR8_g	CR8	Goa	101
*CR8_t	CR8	Portuguese Timor	200
*DL	D[A-M]	Germany(Western)	81
*Y2	DM;Y[2-9]	German Democratic Republic	229
*EA9	EA9	Ifni	113
*FF	FF	French West Africa	59
*FH	FH;FB8	Comoros	39
*FI8	FI8	French Indo-China	58
*FN8	FN8	French India	67
*FQ8	FQ8	French Equatorial Africa	57
*HK0_b	HK0	Bajo Nuevo	19
*HK0_s	HK0	Serrana Bank & Roncador Cay	228
*I1	I1	Trieste	271
*I5	I5	Italian Somaliland	115
*JZ0	JZ0	Netherlands New Guinea	184
*KH5K	KH5K	Kingman Reef	134
*KR8	KR[6,8]	Okinawa (Ryukyu Is.)	193
*KS4	KS4	Swan Is.	261
*KZ5	KZ5	Canal Zone	28
*OK	O[K-M]	Czechoslovakia	218
*P2_p	P2	Papua Territory	198
*P2_g	P2	Territory of New Guinea	267
*PJ_b	PJ	Bonaire, Curacao	85
*PJ_m	PJ	St. Maarten, Saba, St. Eustatius	255
*PK1	PK[1-3]	Java	119
*PK4	PK4	Sumatra	258
*PK5	PK5	Netherlands Borneo	183
*PK6	PK6	Celebe & Molucca Is.	30
*R1M	R1M	Malyj Vysotskij I.	151
*ST0	ST0	Southern Sudan	244
*UN1	UN1	Karelo-Finnish Republic	128
*VO	VO	Newfoundland, Labrador	186
*VQ1	VQ1;5H1	Zanzibar	307
*VQ6	VQ6	British Somaliland	26
*VQ9_a	VQ9	Aldabra	8
*VQ9_d	VQ9	Desroches	44
*VQ9_f	VQ9	Farquhar	55
*9M2	VS2;9M2	Malaya	155
*VS4	FS4	Sarawak	220
*VS9A	VS9A;P;S	PeopleÅfs Democratic Rep. of Yemen	243
*VS9H	VS9H	Kuria Muria I.	139
*VS9K	VS9K	Kamaran Is.	127
*ZC5	ZC5	British North Borneo	25
*ZC6	ZC6;4X1	Palestine	196
*ZD4	ZD4	Gold Coast, Togoland	102
*ZS0	ZS[0,1]	Penguin Is.	493
*ZS9	ZS9	Walvis Bay	488
